source,country,date,type,value
wikipedia,Libya,02-Apr-20_08:24,recovered,1
wikipedia,Romania,02-Apr-20_08:24,cases,2460
wikipedia,Romania,02-Apr-20_08:24,deaths,92
wikipedia,Romania,02-Apr-20_08:24,recovered,252
wikipedia,Botswana,02-Apr-20_08:24,cases,4
wikipedia,Botswana,02-Apr-20_08:24,deaths,1
wikipedia,Botswana,02-Apr-20_08:24,recovered,0
wikipedia,Saint Kitts and Nevis,02-Apr-20_08:24,cases,8
wikipedia,Saint Kitts and Nevis,02-Apr-20_08:24,deaths,0
wikipedia,Saint Kitts and Nevis,02-Apr-20_08:24,recovered,0
wikipedia,Malta,02-Apr-20_08:24,cases,188
wikipedia,Malta,02-Apr-20_08:24,deaths,0
wikipedia,Malta,02-Apr-20_08:24,recovered,2
wikipedia,Fiji,02-Apr-20_08:24,cases,5
wikipedia,Fiji,02-Apr-20_08:24,deaths,0
wikipedia,Fiji,02-Apr-20_08:24,recovered,0
wikipedia,Bhutan,02-Apr-20_08:24,cases,4
wikipedia,Bhutan,02-Apr-20_08:24,deaths,0
wikipedia,Bhutan,02-Apr-20_08:24,recovered,0
wikipedia,Donetsk People's Republic,02-Apr-20_08:24,cases,1
wikipedia,Donetsk People's Republic,02-Apr-20_08:24,deaths,0
wikipedia,Donetsk People's Republic,02-Apr-20_08:24,recovered,0
wikipedia,Azerbaijan,02-Apr-20_08:24,cases,359
wikipedia,Azerbaijan,02-Apr-20_08:24,deaths,5
wikipedia,Azerbaijan,02-Apr-20_08:24,recovered,26
wikipedia,U.S. Virgin Islands,02-Apr-20_08:24,cases,30
wikipedia,U.S. Virgin Islands,02-Apr-20_08:24,deaths,0
wikipedia,U.S. Virgin Islands,02-Apr-20_08:24,recovered,21
wikipedia,Egypt,02-Apr-20_08:24,cases,779
wikipedia,Egypt,02-Apr-20_08:24,deaths,52
wikipedia,Egypt,02-Apr-20_08:24,recovered,179
wikipedia,Barbados,02-Apr-20_08:24,cases,45
wikipedia,Barbados,02-Apr-20_08:24,deaths,0
wikipedia,Barbados,02-Apr-20_08:24,recovered,0
wikipedia,Estonia,02-Apr-20_08:24,cases,779
wikipedia,Estonia,02-Apr-20_08:24,deaths,5
wikipedia,Estonia,02-Apr-20_08:24,recovered,33
wikipedia,Lithuania,02-Apr-20_08:24,cases,581
wikipedia,Lithuania,02-Apr-20_08:24,deaths,8
wikipedia,Lithuania,02-Apr-20_08:24,recovered,7
wikipedia,Vietnam,02-Apr-20_08:24,cases,218
wikipedia,Vietnam,02-Apr-20_08:24,deaths,0
wikipedia,Vietnam,02-Apr-20_08:24,recovered,63
wikipedia,Diamond Princess,02-Apr-20_08:24,cases,672
wikipedia,Diamond Princess,02-Apr-20_08:24,deaths,12
wikipedia,Diamond Princess,02-Apr-20_08:24,recovered,603
wikipedia,Guadeloupe,02-Apr-20_08:24,cases,125
wikipedia,Guadeloupe,02-Apr-20_08:24,deaths,6
wikipedia,Guadeloupe,02-Apr-20_08:24,recovered,22
wikipedia,Syria,02-Apr-20_08:24,cases,10
wikipedia,Syria,02-Apr-20_08:24,deaths,2
wikipedia,Syria,02-Apr-20_08:24,recovered,0
wikipedia,Japan,02-Apr-20_08:24,cases,2178
wikipedia,Japan,02-Apr-20_08:24,deaths,57
wikipedia,Japan,02-Apr-20_08:24,recovered,472
wikipedia,Dominica,02-Apr-20_08:24,cases,12
wikipedia,Dominica,02-Apr-20_08:24,deaths,0
wikipedia,Dominica,02-Apr-20_08:24,recovered,0
wikipedia,Georgia,02-Apr-20_08:24,cases,130
wikipedia,Georgia,02-Apr-20_08:24,deaths,0
wikipedia,Georgia,02-Apr-20_08:24,recovered,26
wikipedia,Nigeria,02-Apr-20_08:24,cases,174
wikipedia,Nigeria,02-Apr-20_08:24,deaths,2
wikipedia,Nigeria,02-Apr-20_08:24,recovered,9
wikipedia,Isle of Man,02-Apr-20_08:24,cases,68
wikipedia,Isle of Man,02-Apr-20_08:24,deaths,1
wikipedia,Isle of Man,02-Apr-20_08:24,recovered,0
wikipedia,Indonesia,02-Apr-20_08:24,cases,1677
wikipedia,Indonesia,02-Apr-20_08:24,deaths,157
wikipedia,Indonesia,02-Apr-20_08:24,recovered,103
wikipedia,Central African Republic,02-Apr-20_08:24,cases,6
wikipedia,Central African Republic,02-Apr-20_08:24,deaths,0
wikipedia,Central African Republic,02-Apr-20_08:24,recovered,0
wikipedia,Suriname,02-Apr-20_08:24,cases,10
